Site,hab_rch,year,avg_aug_temp,CU_Freq,Sin,WetBraid,chnnl_nt_n,chnnl_nt_t,DpthResid,DpthThlwgExit,FishCovLW,FishCovSome,SubEstCandBldr,SubEstGrvl,SubEstSandFines,LON_DD,LAT_DD,Lgth_Wet,Q,geometry,FstNT_Freq,FstTurb_Freq,area
dash_example,1,2022,13.5,2.01,1.11,Inf,1,Run,0.19000000000000006,0.48,0,10,50,40,10,292582.01291511045,4971834.461350211,44.082724448873776,1.98,"c(-113.625988791846, -113.625988791846, -113.625904199894, -113.625647960195, -113.625509852047, 44.8698375546112, 44.8698375546112, 44.869790165922, 44.8697055743469, 44.8696380970513)",0.8,1.2,527
dash_example,1,2022,13.5,2.01,1.11,Inf,2,Riffle,0.17000000000000004,0.49,0,20,50,40,10,292607.67102788144,4971817.402236057,17.71648695812913,1.98,"c(-113.625509852047, -113.625358869252, -113.625331006803, 44.8696380970513, 44.8695643294216, 44.8695429668917)",0.8,1.2,238
dash_example,1,2022,13.5,2.01,1.11,Inf,3,Run,0.6299999999999999,0.33,10,40,50,30,20,292630.2867367526,4971793.291934437,48.62365184951274,1.98,"c(-113.625331006803, -113.625221715311, -113.625094690503, -113.625120971497, -113.625127129366, 44.8695429668917, 44.8694591715735, 44.8693621623181, 44.8691991864012, 44.8691729491829)",0.8,1.2,586
dash_example,1,2022,13.5,2.01,1.11,Inf,4,Riffle,0.12,0.61,0,10,40,50,10,292623.25392927474,4971708.95025784,125.90504166757003,1.98,"c(-113.625127129366, -113.625189959109, -113.625229380601, -113.625233760767, -113.625223905394, -113.625188864067, -113.625145062409, -113.625073884715, -113.624957810321, -113.624898678083, -113.624818740057, -113.624723471451, -113.624584948708, 44.8691729491829, 44.868905246527, 44.8688319068393, 44.8687899984043, 44.8687154944446, 44.8686378860507, 44.8685843361979, 44.8685206971776, 44.8684165075322, 44.8683559726795, 44.8683381226466, 44.8683264813179, 44.868286512738)",0.8,1.2,1489
dash_example,1,2022,13.5,2.01,1.11,Inf,5,Riffle,0.13,0.53,10,30,50,40,10,292651.29496243794,4971685.744322657,12.647426513809414,1.98,"c(-113.624891560314, -113.624801523709, -113.624740201388, 44.8684159254666, 44.8684224532481, 44.8683991706224)",0.8,1.2,60
dash_example,2,2022,13.5,2.97,1.05,Inf,6,Pool,0.77,0.29,0,10,20,60,20,292689.2092081267,4971656.742879083,48.942250890423814,1.98,"c(-113.624584948708, -113.624396601579, -113.624310093304, -113.624249866025, -113.624199494118, -113.624112985843, -113.624108947183, 44.868286512738, 44.8682073515852, 44.8681669948771, 44.8681173250438, 44.8680754160885, 44.86801565697, 44.8680119225165)",0.42,0.85,590
dash_example,2,2022,13.5,2.97,1.05,Inf,7,Riffle,0.26,0.62,0,30,30,60,10,292712.17951222835,4971607.454830382,65.22839843518958,1.98,"c(-113.624109019705, -113.624079789687, -113.624042558278, -113.62402175249, -113.624012992159, -113.624007516951, -113.624015182242, -113.624041463236, -113.62408197977, -113.624124686387, -113.624137826884, -113.624144779652, 44.8680120668306, 44.8679867274725, 44.8679354931662, 44.8678904796978, 44.867831496479, 44.8677569912741, 44.8676910230435, 44.8676467854818, 44.8675870259147, 44.8675311467827, 44.8674853568981, 44.8674616203083)",0.42,0.85,752
dash_example,2,2022,13.5,2.97,1.05,Inf,8,OCA,NA,NA,10,80,0,10,90,292703.2342449296,4971569.041011558,1.745968973938319,1.98,"c(-113.624115790461, -113.624099091079, 44.8673924666206, 44.8673821832781)",0.42,0.85,9
dash_example,2,2022,13.5,2.97,1.05,Inf,9,Pool,0.59,0.35,0,10,40,40,20,292697.4388397869,4971569.828193315,16.353804054437898,1.98,"c(-113.624144779652, -113.624186627381, -113.624202779242, -113.624215937329, 44.8674616203083, 44.8673821192018, 44.8673478251968, 44.8673234747794)",0.42,0.85,165
dash_example,2,2022,13.5,2.97,1.05,Inf,10,Riffle,0.54,0.39,10,30,50,40,10,292691.3704589722,4971540.092109328,47.66306730433204,1.98,"c(-113.624215937329, -113.624222489988, -113.624200589159, -113.624184163538, -113.624198399076, -113.624217014781, -113.624264101563, -113.624292572641, -113.62436703546, -113.624378992097, 44.8673234747794, 44.867311348398, 44.867279528193, 44.8672531406925, 44.8672089027969, 44.8671716498059, 44.8670924871198, 44.8670059513139, 44.8669492955141, 44.8669378303759)",0.42,0.85,477
dash_example,2,2022,13.5,2.97,1.05,Inf,11,SSC,0.019999999999999962,0.34,0,50,10,60,30,292681.49738506705,4971545.723753501,27.29086422441815,1.98,"c(-113.624306260659, -113.624350609838, -113.624380723478, -113.624384556123, -113.624374153229, -113.624361560252, -113.624354442483, -113.624355537525, -113.624366487939, -113.624373058188, 44.8672700209332, 44.8672463497897, 44.8672145295487, 44.8671924105903, 44.8671733960404, 44.8671543814841, 44.867136919131, 44.8671167404053, 44.8670841439872, 44.8670523236566)",0.42,0.85,158
dash_example,2,2022,13.5,2.97,1.05,Inf,12,Run,0.5900000000000001,0.42,0,10,30,60,10,292670.10681590287,4971509.797209058,28.463992243361073,1.98,"c(-113.624378992097, -113.624404266869, -113.624476539605, -113.624555382589, -113.624630940449, -113.624638035754, 44.8669378303759, 44.8669135945704, 44.8668600431135, 44.8668134765886, 44.8667715666841, 44.8667621609765)",0.42,0.85,382
dash_example,3,2022,13.6,0.37,1.03,Inf,13,Riffle,0,1.15,0,10,40,50,10,292717.13689751003,4971172.087398107,687.1107442150841,1.98,"c(-113.624638035754, -113.624690072687, -113.624781508648, -113.624823120223, -113.624838450803, -113.624835165679, -113.624796839228, -113.624750573727, -113.624725387774, -113.624694726613, -113.62465421008, -113.62457865222, -113.624516234857, -113.624457102619, -113.624418776168, -113.624391400132, -113.624317758594, -113.624253151149, -113.62417102304, -113.624079039558, -113.624015527154, -113.623942159377, -113.623879742015, -113.623816229611, -113.623682087033, -113.623613099422, -113.623551777101, 
-113.623485800853, -113.623406957869, -113.623346730589, -113.623266792564, -113.623194519828, -113.623141957838, -113.623008362782, -113.622907618968, -113.622845201606, -113.62276526358, -113.622721461922, -113.622665614808, -113.622590056948, -113.622528734627, -113.622466317264, -113.622440036269, -113.622329259059, 44.8667621609765, 44.8666931795585, 44.8665831657641, 44.8664993455892, 44.8664194058641, 44.8663464510668, 44.8662315858792, 44.8660918846666, 44.8659723622489, 44.865855167949, 
44.8657340927925, 44.8656091367551, 44.8654199559027, 44.8653050888664, 44.8651917738628, 44.8651157129819, 44.8649661133539, 44.8648217522548, 44.8646688532767, 44.8645000430194, 44.8643378294782, 44.8642099598694, 44.8640710298967, 44.8639119197394, 44.8636536558529, 44.8635123960769, 44.86340761525, 44.8632859528283, 44.8631190789131, 44.8629902363965, 44.8628282126417, 44.8626846223462, 44.8625813923449, 44.8622439531357, 44.8620592242203, 44.8619515300937, 44.8617862046643, 44.8616953919024, 
44.8615362751794, 44.8613812329739, 44.8612710149819, 44.8611685586311, 44.8610979257376, 44.8609082934288)",0,0.12,11019
dash_example,3,2022,13.5,0.37,1.03,Inf,14,SSC,0.07,0.32,10,60,0,50,50,292681.72267213685,4971369.852694081,103.21713004386918,1.98,"c(-113.624613967307, -113.62448803754, -113.624434380509, -113.624363202815, -113.62426902925, -113.624226596394, -113.624201684201, -113.624189912505, -113.624187996183, -113.624192923869, -113.624200041639, -113.624215372219, 44.8659453920586, 44.8659321980041, 44.8658949441868, 44.8657117792343, 44.8655355988361, 44.8654575980911, 44.8654028810875, 44.8653642687026, 44.8652595397544, 44.8652110316082, 44.8651749415209, 44.8651407917401)",0,0.12,582
dash_example,3,2022,13.6,0.37,1.03,Inf,15,Pool,0.42000000000000004,0.36,0,30,40,50,10,292823.65733932925,4970836.485090525,17.776813557155606,1.98,"c(-113.622329259059, -113.622327247, -113.622286730467, -113.622246213933, -113.622246213933, 44.8609082934288, 44.8609048491168, 44.8608373206584, 44.8607597016429, 44.8607597016429)",0,0.12,168
