,ShortName,Name,MetricEngineName,MetricGroupName,DescriptiveText,UnitOfMeasure,UnitOfMeasureAbbrv,MetricCategory,FieldName,DASH_poss,DASH_gen,Easy,
120,BfWDRat_CV,Bankfull Width To Depth Ratio CV,RBT,Visit Metric,Coefficient of Variation of width to depth ratios of the bankfull channel measured from cross-sections. Depths represent an average of 10 depths along each cross-section.,ratio,NA,Complexity,NA,F,,,
121,WetWdth_CV,Wetted Width CV,RBT,Visit Metric,Coefficient of Variation of the wetted channel width measured from cross-sections.,ratio,NA,Complexity,NA,T,T,3,
122,WetWDRat_CV,Wetted Width To Depth Ratio CV,RBT,Visit Metric,Retired. Coefficient of Variation of wetted width to depth ratios derived from cross-sections.,ratio,NA,Complexity,NA,F,,,
123,DetrendElev_SD,Detrended Elevation SD,RBT,Visit Metric,Standard Deviation of all cells for the detrended DEM.,Meter,m,Complexity,NA,F,,,
124,Sin_CL,Sinuosity Via Centerline,RBT,Visit Metric,Ratio of the wetted centerline length (Site Length Wetted) and the straight line distance between the start and end points of the wetted centerline. Generated by the River Bathymetry Toolkit (RBT),ratio,NA,Complexity,NA,T,T,2,
125,BfVol,Bankfull Volume,RBT,Visit Metric,Total bankfull volume at a site.,cubic-meter,m3,Size,NA,F,,,
126,PoolResidDpth,Residual Pool Depth,RBT,Visit Metric,The average difference between the maximum depth and downstream end depth of all Slow Water/Pool channel units.,Meter,m,Size,NA,F,,,
127,DpthWet_SD,Wetted Depth SD,RBT,Visit Metric,Standard Deviation of water depths within the wetted channel.,Meter,m,Complexity,NA,F,,,
128,BfBraid,Bankfull Channel Braidedness,RBT,Visit Metric,Ratio of the total length of the bankfull mainstem plus side channels and the length of the mainstem channel.,ratio,NA,Complexity,NA,F,,,
129,BfChnl_Ct,Bankfull Channel Count,RBT,Visit Metric,Total number of channel segments (mainstem + side channels) identified in the bankfull channel.,Count,NA,Size,NA,F,,,
130,Bf_Island_Ct,Bankfull Channel Island Count,RBT,Visit Metric,The total number of islands in the bankfull polygon.,Count,NA,Complexity,NA,F,,,
131,BfMChnl_Part_Ct,Bankfull Main Channel Part Count,RBT,Visit Metric,Total count of bankfull mainstem channel segments.,Count,NA,Size,NA,F,,,
132,Bf_QIsland_Ct,Bankfull Channel Qualifying Island Count,RBT,Visit Metric,The number of qualifying islands in the bankfull polygon.,Count,NA,Complexity,NA,F,,,
133,Lgth_BfChnl,Bankfull Channel Total Length,RBT,Visit Metric,Total length of the main channel and all side channels at bankfull.,Meter,m,Size,NA,F,,,
134,BfSCWdth,Bankfull Side Channel Width,RBT,Visit Metric,Average bankfull width of side channel(s) measured from cross-sections.,Meter,m,Complexity,NA,F,,,
135,Bf_QIsland_Area,Bankfull Channel Qualifying Island Area,RBT,Visit Metric,The total area of all qualifying islands in the bankfull  polygon.,square-meter,m2,Complexity,NA,F,,,
136,GCDADCNtThckDffErrT0,GCD Avg Net Thickness Diff within Area of Detectable Change For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T0.,Meter,m,NA,NA,F,,,
137,GCDADCNtThckDffErrT1,GCD Avg Net Thickness Diff within Area of Detectable Change For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
138,GCDADCNtThckDffT0,GCD Avg Net Thickness Diff within Area of Detectable Change For T0,RBT,Visit Metric,"Average net thickness of difference between the current visit and first  year of sampling (T0) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
139,GCDADCNtThckDffT1,GCD Avg Net Thickness Diff within Area of Detectable Change For T-1,RBT,Visit Metric,"Average net thickness of difference between the current visit and the last sampling visit (T-1) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
140,GCDAOINtThckDffErrT0,GCD Avg Net Thickness Diff within Area of Interest For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T0.,Meter,m,NA,NA,F,,,
141,GCDAOINtThckDffErrT1,GCD Avg Net Thickness Diff within Area of Interest For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
142,GCDAOINtThckDffT0,GCD Avg Net Thickness Diff within Area of Interest For T0,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T0.,Meter,m,NA,NA,F,,,
143,GCDAOINtThckDffT1,GCD Avg Net Thickness Diff within Area of Interest For T-1,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
144,GCDADCTtThckDffErrT0,GCD Avg Total Thickness Diff within Area of Detectable Change For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of detectable change for T0.,Meter,m,NA,NA,F,,,
145,GCDADCTtThckDffErrT1,GCD Avg Total Thickness Diff within Area of Detectable Change For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of detectable change for T-1.,Meter,m,NA,NA,F,,,
146,GCDADCTtThckDffT0,GCD Avg Total Thickness Diff within Area of Detectable Change For T0,RBT,Visit Metric,"Average thickness of difference between the current visit and first  year of sampling (T0) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
147,GCDADCTtThckDffT1,GCD Avg Total Thickness Diff within Area of Detectable Change For T-1,RBT,Visit Metric,"Average thickness of difference between the current visit and most recent year of sampling (T-1) within the area of detectable change, which is the area where there was detectable change within the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
148,GCDAOITtThckDffErrT0,GCD Avg Total Thickness Diff within Area of Interest For T0: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest  for T0.,Meter,m,NA,NA,F,,,
149,GCDAOITtThckDffErrT1,GCD Avg Total Thickness Diff within Area of Interest For T-1: Error,RBT,Visit Metric,The propogated error (m^3) from erosion and deposition cells within the area of interest for T-1.,Meter,m,NA,NA,F,,,
150,GCDAOITtThckDffT0,GCD Avg Total Thickness Diff within Area of Interest For T0,RBT,Visit Metric,"Average total  thickness of difference between the current visit and earliest visit to the site (T0) within the area of interest, which is the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
151,GCDAOITtThckDffT1,GCD Avg Total Thickness Diff within Area of Interest For T-1,RBT,Visit Metric,"Average total thickness of difference between the current visit and most recent year of sampling (T-1) within the area of interest, which is the union of all bankfull areas for all visits.",Meter,m,NA,NA,F,,,
152,GCDAOIAreaDtctChngT0,GCD Percent of Area of Interest with Detectable Change For T0,RBT,Visit Metric,The percent of the total area of interest with detectable changes (i.e. either exceeding the minimum level of detection or with a proability greater then the confidence interval chosen by user) from current visit to earliest visit to the site (T0).,Percent,%,NA,NA,F,,,
153,GCDAOIAreaDtctChngT1,GCD Percent of Area of Interest with Detectable Change For T-1,RBT,Visit Metric,The percent of the total area of interest with detectable changes (i.e. either exceeding the minimum level of detection or with a proability greater then the confidence interval chosen by user) from current visit to the last visit to the site (T-1).,Percent,%,NA,NA,F,,,
154,GCDImbalPctT0,GCD Percent Imbalance For T0,RBT,Visit Metric,The percent depature from a 50%-50% equilibirum erosion/deposition balance from current visit to earliest visit to the site (T0).,Percent,%,NA,NA,F,,,
155,GCDImbalPctT1,GCD Percent Imbalance For T-1,RBT,Visit Metric,The percent depature from a 50%-50% equilibirum erosion/deposition balance from current visit to most recent visit to the site (T-1).,Percent,%,NA,NA,F,,,
156,GCDChnlVolDiffT0,GCD Percent Net Volume Ratio for T0,RBT,Visit Metric,The ratio of net volumetric change to the total volume of change between the current visit and the first visit to the site (T0).,Percent,%,NA,NA,F,,,
157,GCDChnlVolDiffT1,GCD Percent Net Volume Ratio for T-1,RBT,Visit Metric,The ratio of net volumetric change to the total volume of change between the current visit and the first visit to the site (T-1).,Percent,%,NA,NA,F,,,
158,WetBraid,Wetted Channel Braidedness,RBT,Visit Metric,Ratio of the total length of the wetted mainstem channel plus side channels and the length of the mainstem channel.,ratio,NA,Complexity,NA,T,T,2,
159,WetChnl_Ct,Wetted Channel Count,RBT,Visit Metric,Total number of channel segments (mainstem + side channels) identified in the wetted channel.,Count,NA,Size,NA,T,T,1,
160,Wet_Island_Ct,Wetted Channel Island Count,RBT,Visit Metric,The total number of islands in the wetted polygon.,Count,NA,Complexity,NA,F,,,
161,Lgth_WetMChnl,Wetted Channel Mainstem Length,RBT,Visit Metric,Length of the main wetted channel.,Meter,m,Size,NA,F,,,
162,WetChnl_Sin,Wetted Channel Mainstem Sinuosity,RBT,Visit Metric,Length of the wetted main channel divided by the straight line length between the top and bottom endpoints of the wetted main channel centerline.,ratio,NA,Complexity,NA,T,T,2,
163,Wet_QIsland_Ct,Wetted Channel Qualifying Island Count,RBT,Visit Metric,The number of qualifying islands in the wetted polygon.,Count,NA,Complexity,NA,T,T,2,
164,Lgth_WetChnl,Wetted Channel Total Length,RBT,Visit Metric,Total length of wetted main and side channels.,Meter,m,Size,NA,T,T,2,
165,WetSCWdth,Wetted Side Channel Width,RBT,Visit Metric,Average wetted width of side channel(s)  measured from cross-sections.,Meter,m,Complexity,NA,T,F,,
166,WetMChnl_Part_Ct,Wetted Main Channel Part Count,RBT,Visit Metric,Total count of wetted mainstem channel segments.,Count,NA,Size,NA,T,F,,
167,Wet_QIsland_Area,Wetted Channel Qualifying Island Area,RBT,Visit Metric,The total area of all qualifying islands in the wetted polygon.,square-meter,m2,Complexity,NA,T,F,,
168,DpthBf_Max,Bankfull Depth Max,RBT,Visit Metric,Maximum depth of the bankfull channel.,ratio,NA,Size,NA,F,,,
169,DpthBf_Avg,Bankfull Depth Avg,RBT,Visit Metric,Average depth of the bankfull channel.,ratio,NA,Size,NA,F,,,
170,BfSCWdth_CV,Bankfull Side Channel Width CV,RBT,Visit Metric,Coefficient of Variation of qualifying side channel bankfull widths measured from cross-sections.,ratio,NA,Complexity,NA,F,,,
171,BfSCWMxDRat_CV,Bankfull Side Channel Width to Max Depth Ratio CV,RBT,Visit Metric,Coefficient of Variation of width to max depth ratio in side channels at bankfull.,ratio,NA,Complexity,NA,F,,,
172,BfSCWMxDRat_Avg,Bankfull Side Channel Width to Max Depth Ratio Avg,RBT,Visit Metric,Width to max depth ratio in side channels at bankfull.,ratio,NA,Complexity,NA,F,,,
173,BfSCWDRat_CV,Bankfull Side Channel Width to Depth Ratio CV,RBT,Visit Metric,Coefficient of Variation of width to average depth ratio in side channels at bankfull.,ratio,NA,Complexity,NA,F,,,
174,BfSCWDRat_Avg,Bankfull Side Channel Width to Depth Ratio Avg,RBT,Visit Metric,Width to average depth ratio in side channels at bankfull.,ratio,NA,Complexity,NA,F,,,
175,WetSCWdth_CV,Wetted Side Channel Width CV,RBT,Visit Metric,Coefficient of Variation of qualifying side channel wetted widths measured from cross-sections.,ratio,NA,Complexity,NA,T,F,,
176,WetSCWMxDRat_CV,Wetted Side Channel Width to Max Depth Ratio CV,RBT,Visit Metric,Coefficient of variation of  qualifying wetted width to max depth ratios of side channels measured from cross-sections.,ratio,NA,Complexity,NA,F,,,
177,WetSCWMxDRat_Avg,Wetted Side Channel Width to Max Depth Ratio Avg,RBT,Visit Metric,Average wetted width to max depth ratio of qualifying side channels measured from cross-sections. Depths represent the max depth of 10 stations along each cross-section.,ratio,NA,Complexity,NA,F,,,
178,WetSCWDRat_CV,Wetted Side Channel Width to Depth Ratio CV,RBT,Visit Metric,Coefficient of variation of qualifying wetted side channel width to average depth ratios measured from cross sections.,ratio,NA,Complexity,NA,F,,,
179,WetSCWDRat_Avg,Wetted Side Channel Width to Depth Ratio Avg,RBT,Visit Metric,Average wetted width to depth ratio of qualifying side channels measured from from cross-sections.  Depths represent the average depth of 10 stations along each cross-section.,ratio,NA,Complexity,NA,F,,,
180,BfWMxDRat_CV,Bankfull Width to Max Depth Ratio CV,RBT,Visit Metric,Coefficient of Variation of width to depth ratios of the bankfull channel measured from cross-sections. Depth represents the maximum depth along a cross-section.,ratio,NA,Complexity,NA,F,,,
181,BfWMxDRat_Avg,Bankfull Width to Max Depth Ratio Avg,RBT,Visit Metric,Average width to depth ratios of the bankfull channel measured from cross-sections. Depth represents the maximum depth along a cross-section.,ratio,NA,Complexity,NA,F,,,
182,WetWMxDRat_CV,Wetted Width to Max Depth Ratio CV,RBT,Visit Metric,Coefficient of Variation of width to depth ratios of the wetted channel measured from cross-sections. Depth represents the maximum depth along a cross-section.,ratio,NA,Complexity,NA,T,T,1,Coefficient of Variation of width to depth ratios of the wetted channel measured from average width and max depth of each channel unit. 
183,WetWMxDRat_Avg,Wetted Width to Max Depth Ratio Avg,RBT,Visit Metric,Average width to depth ratios of the wetted channel measured from cross-sections. Depth represents the maximum depth along a cross-section.,ratio,NA,Complexity,NA,T,T,1,Average width to depth ratios of the wetted channel measured from average width and max depth of each channel unit. 
184,WetMChnl_Area,Wetted Channel Mainstem Area,RBT,Visit Metric,"Sum of the wetted channel unit areas for all channel units that do not possess a type of ""small side channel"" or ""large side channel"".",square-meter,m2,Size,NA,T,T,1,
185,WetSCL_Area,Wetted Large Side Channel Area,RBT,Visit Metric,Sum of the large side channel unit areas.,square-meter,m2,Complexity,NA,T,T,1,
186,WetSCS_Area,Wetted Small Side Channel Area,RBT,Visit Metric,Sum of all small side channel unit areas at a site.,square-meter,m2,Complexity,NA,T,T,1,
187,WetSC_Pct,Wetted Side Channel Percent By Area,RBT,Visit Metric,Ratio of the total area of side channel unit areas (both small and large) divided by the total area of channel unit polygons.,Percent,%,Complexity,NA,T,T,1,
188,OrthogonalGeoDatabase,Orthogonal GeoDatabase,RBT Orthogonal,Visit Metric,Zipped file containing hydraulic model results.,NA,NA,NA,NA,F,,,
189,SiteGeoDatabase,Site GeoDatabase,Site GDB Generator,Visit Metric,Zipped file containing hydraulic model results.,NA,NA,NA,NA,F,,,
190,7dAMGtr12,7dAMGtr12,Stream Temp,Stream Temp Summer 7dAM,Number of 7-day average of daily maximum (7dAM) values between July 15th and August 31st that are greater than 12°C.  Relates to bull trout spawning and juvenile rearing.,Count,NA,Temperature,NA,F,,,
191,7dAMGtr13,7dAMGtr13,Stream Temp,Stream Temp Summer 7dAM,Number of 7-day average of daily maximum (7dAM) values between July 15th and August 31st that are greater than 13°C.  Relates to salmon and steelhead spawning.,Count,NA,Temperature,NA,F,,,
192,7dAMGtr16,7dAMGtr16,Stream Temp,Stream Temp Summer 7dAM,Number of 7-day average of daily maximum (7dAM) values between July 15th and August 31st that are greater than 16°C.  Relates to suitability as core cold water habitat.,Count,NA,Temperature,NA,F,,,
193,7dAMGtr18,7dAMGtr18,Stream Temp,Stream Temp Summer 7dAM,Number of 7-day average of daily maximum (7dAM) values between July 15th and August 31st that are greater than 18°C.  Relates to salmon and trout rearing and migration.,Count,NA,Temperature,NA,F,,,
194,7dAMGtr20,7dAMGtr20,Stream Temp,Stream Temp Summer 7dAM,Number of 7-day average of daily maximum (7dAM) values between July 15th and August 31st that are greater than 20°C.  Relates to salmon and steelhead migration.,Count,NA,Temperature,NA,F,,,
195,7dAMGtr22,7dAMGtr22,Stream Temp,Stream Temp Summer 7dAM,Number of 7-day average of daily maximum (7dAM) values between July 15th and August 31st that are greater than 22°C.  Indicates if temperatures create a thermal barrier to salmonid migration.,Count,NA,Temperature,NA,F,,,
196,AvgHourly,SummerHourlyAverageTemp,Stream Temp,Stream Temp Summer 7dAM,Average of all hourly temperature measurements collected July 15th - August 31st.,Degree (Celsius),°C,Temperature,NA,F,,,
197,MaxHourly,SummerHourlyMaxTemp,Stream Temp,Stream Temp Summer 7dAM,Highest hourly temperature measurement recorded July 15th - August 31st.,Degree (Celsius),°C,Temperature,NA,F,,,
198,Max7dAM,Max7dAM,Stream Temp,Stream Temp Summer 7dAM,Highest 7-day average of daily maximum (7dAM) value between July 15th - August 31st.,Degree (Celsius),°C,Temperature,NA,F,,,
199,mean_JulAug_temp,Mean Summer Temperature,NA,NA,Average of all hourly temperature measurements collected July 15 - August 31.,NA,NA,Temperature,NA,F,,,
200,BraidChannelRatio,Braid to Channel Ratio,NA,NA,NA,NA,NA,Complexity,NA,F,,,
201,PoolToTurbulentAreaRatio,Pool To Turbulent Area Ratio,NA,NA,NA,NA,NA,ChannelUnit,NA,F,,,
202,VisitYear,Year,NA,NA,NA,NA,NA,Categorical,NA,T,T,0,
203,ValleyClass,Valley Class,NA,NA,NA,NA,NA,Categorical,NA,T,F,,
204,ChannelType,Beechie Channel Type,NA,NA,NA,NA,NA,Categorical,NA,T,T,2,
205,SiteLength,Site Length,NA,NA,NA,NA,NA,Size,NA,T,F,,
206,AverageBFWidth,Average Bankfull Width,NA,NA,NA,NA,NA,Size,NA,F,,,
207,CU_Ct,Channel Unit Count,NA,NA,Number of channel units.,Count,NA,ChannelUnit,NA,T,T,1,
208,CU_Freq,Channel Unit Frequency,NA,NA,Number of channel units per 100 meters.,count per 100 meter,NA,ChannelUnit,NA,T,T,1,
209,MeanTemp,Mean Summer Temperature,NA,NA,NA,Degree (Celsius),NA,Temperature,NA,F,,,
210,MaxMeanTemp,Max Mean Weekly Summer Temperature,NA,NA,NA,Degree (Celsius),NA,Temperature,NA,F,,,
211,DistPrin1,Disturbance Class PCA 1,NA,NA,Disturbance Classification PCA 1 Score,NA,na,Land Classification,DistPrin1,T,T,2,
212,NatPrin1,Natural Class PCA 1,NA,NA,Natural Classification PCA 1 Score,NA,na,Land Classification,NatPrin1,T,T,2,
213,NatPrin2,Natural Class PCA 2,NA,NA,Natural Classification PCA 2 Score,NA,na,Land Classification,NatPrin2,T,T,2,
214,CUMDRAINAG,Drainage Area (Flowline),NA,NA,Cumulative drainage area in square kilometers (sq km) at bottom of flowline.,NA,km^2,Size,CumDran_v1,T,T,2,
215,Ppt,Precipitation,NA,NA,The 103 year average of precipitation for a given point from PRISM data.,NA,cm,Size,Precip,T,T,2,
216,MeanU,Mean Annual Flow,NA,NA,"Mean daily flow, averaged over a year. Also sometimes called mean annual flow. Units: cubic feet per second (cfs).",NA,cfs,Size,MeanU_v1,T,T,2,
,NDVI,Normalized Differential Vegetation Index (avg across fish reach),,,,,,,,,T,3,
,Veg Height,Average height across fish reach,,,,,,,,,T,3,
,Width to thalweg exit depth CV,,,,,,,,,,,,
,Width to thalweg exit depth AVG,,,,,,,,,,,,
